MainHotel,Hotel_Name
375,Sing Hoe Hotel
376,Sloane Court Hotel
377,Song Hua Boarding House
378,Song Tat Boarding House
379,Soo Chew Hotel
380,Soon Seng Long Lodging House
381,Soon Teck Hotel
382,Starlet Hotel
383,Summer Hotel
384,Sun Sun Hotel
385,Sunshine Hotel
386,Sunwell Hotel
387,Super 8 Hotel
388,Super Star Hotel
389,Tai Hoe Hotel
390,Taipei Hotel (2000)
391,Tai Seng Hotel
393,The Amazing Inn
394,The Aspirals
397,The Inn At Temple Street
398,The Keong Saik Hotel
399,The Marco Polo Hotel
401,The Regal Inn Singapore
402,The Royal Hibiscus
403,The Sha Villa-Old
404,"Swissotel The Stamford, Singapore"
405,Treasure Resort
406,Ubin Lagoon Resort
407,Victoria Hotel
408,VIP Hotel
409,Waterloo Hostel
412,Yes Chinatown Pt. Hotel
413,Yew Hua Boarding House
414,Yew Lian Hotel
415,Yewken Hotel
416,Yong Nan Hotel
417,Geylang hotel
419,5 Star hotel (Five Star Hotel)
421,Fukang Ning
427,Royal Park Inn Hotel
429,The Park
430,Airport Transit Hotel
431,Ambassador Transit Hotel
432,Asia Star Hotel
433,Asphodel Inn
434,Bright Star Hotel
435,Century Hotel
436,The Claremont
437,Crowne Plaza Changi Airport
439,Elegance Hotel
440,Fei Long Hotel
444,Hotel 81 - Dickson
448,Orchard Grand Court Hotel
449,Penang Hotel
450,Quality Star
451,Radius International Hotel
452,Serangoon Hotel
453,Shi Ba Hotel
454,Shine Hotel
455,Shin-gi Hotel
456,Shui Jing Guan
457,Soho Hotel
459,Taipan
463,Hotel Fort Canning
464,YMCA Singapore
465,St. Regis Hotel Singapore
467,Hotel Re! @ Pearl's Hill
468,Cultural Hotel
469,Ibis Singapore Novena
470,G Hotel Singapore
471,The Quincy Hotel
472,Naumi
473,Park Hotel Clarke Quay
474,Value Hotel
475,"Capella Hotel, Singapore"
476,Le Peranakan Hotel
477,Nostalgia Hotel
478,Aqueen Hotel - Balestier
479,New Cape Inn
480,Hotel 81 - Lucky
481,Joo Chiat Hotel
482,Bugis Hotel
483,Park Hotel Alexandra
599,Other Hotels
701,Festive Hotel
702,Crockfords Tower
703,Hard Rock Hotel
704,Hotel Michael
705,Marina Bay Sands Singapore
706,Hotel Chancellor @ Orchard
707,Studio M Hotel
711,Grand Park Orchard
712,The Club
713,New Happy Hotel
714,Lulu Hotel
715,Hotel 101
716,Value Hotel - Balestier
717,Value Hotel - Nice
718,Value Hotel - Thomson
719,Parc Sovereign Hotel
720,Porcelain Hotel
721,V Hotel Lavender
722,Park Regis Singapore
723,Innotel Hotel
724,Nicoll Hotel
725,Rider's Lodge
727,Zenobia Hotel
